測点,単延長,幅(m)
No.0,0,9.70
No.0+3,3,3.25
No.0+10,7,3.26
No.1,10,3.29
No.1+10,10,3.39
No.2,10,3.40
No.2+10,10,3.35
No.3,10,3.40
No.3+10,10,3.45
No.4,10,3.48
No.4+10,10,3.50
No.5,10,3.70
No.5+10,10,3.70
No.6,10,3.53
No.6+7,7,3.55
No.6+10,3,3.53
No.7,10,3.42
No.7+10,10,3.55
No.8,10,3.57
No.8+10,10,3.65
No.9,10,3.69
No.9+10,10,3.75
No.10,10,3.72
No.10+10,10,3.55
No.11,10,3.37
No.11+10,10,3.32
No.12,10,3.35
No.12+10,10,3.52
No.13,10,3.55
No.13+10,10,3.53
No.14,10,3.65
No.14+10,10,3.62
No.15,10,3.57
No.15+10,10,3.62
No.16,10,3.55
No.16+10,10,3.63
No.17,10,3.37
No.17+10,10,10.70
No.18,10,4.00
No.18+10,10,3.27
No.19,10,3.30
No.19+10,10,3.27
No.20,10,3.40
No.20+10,10,3.35
No.21,10,3.57
No.21+10,10,3.47
No.22,10,3.45
No.22+10,10,7.90
No.23,10,4.35
No.23+10,10,3.90
No.24,10,3.85
No.24+10,10,4.05
No.25,10,3.80
No.25+10,10,4.05
No.26,10,3.50
No.26+10,10,3.20
No.26+12,2,3.20 
