name,x,wl,wr
No.-5,0.00,3.60,3.50
10m,10.00,3.90,3.80
No.-4,20.00,4.00,3.80
10m,30.00,4.00,3.80
No.-3,40.00,4.00,3.80
10m,50.00,4.00,3.80
No.-2,60.00,4.00,3.80
10m,70.00,4.00,3.80
No.-1,80.00,4.00,3.80
10m,90.00,4.00,3.80
No.0,100.00,4.00,3.80
10m,110.00,4.00,3.80
No.1,120.00,4.00,3.80
10m,130.00,4.00,4.00
No.2,140.00,4.00,3.90
10m,150.00,4.00,3.80
No.3,160.00,4.00,3.80
10m,170.00,4.00,3.80
No.4,180.00,4.00,3.80
10m,190.00,4.00,3.80
No.5,200.00,4.00,3.80
10m,210.00,4.00,3.80
No.6,220.00,4.00,4.00
10m,230.00,4.00,4.00
No.7,240.00,4.00,4.00
10m,250.00,4.00,4.00
No.8,260.00,4.00,4.00
10m,270.00,4.00,4.00
No.9,280.00,4.00,4.10
10m,290.00,4.00,4.10
No.10,300.00,4.00,4.20
10m,310.00,4.00,4.30
No.11,320.00,4.00,4.30
10m,330.00,4.00,4.30
No.12,340.00,4.00,4.30
10m,350.00,4.00,4.30
No.13,360.00,4.00,4.30
10m,370.00,4.00,4.30
No.14,380.00,4.00,4.30
10m,390.00,4.00,4.30
No.15,400.00,4.00,4.30
10m,410.00,4.00,4.40
No.16,420.00,4.00,4.40
10m,430.00,4.00,4.40
No.17,440.00,4.00,4.40
10m,450.00,4.00,4.40
No.18,460.00,4.00,4.40
10m,470.00,4.00,4.40
No.19,480.00,4.00,4.40
10m,490.00,4.00,4.40
No.20,500.00,4.00,4.40
10m,510.00,4.00,4.40
No.21,520.00,4.00,4.40
10m,530.00,4.00,4.40
No.22,540.00,4.00,4.40
10m,550.00,4.00,4.40
No.23,560.00,4.00,4.40
10m,570.00,4.00,4.40
No.24,580.00,4.00,4.40
10m,590.00,4.00,4.40
No.25,600.00,4.00,4.40
