測点名,単延長L,幅員W,wr
No.0,0,9.70,0
No.0+3,3,3.25,0
No.0+10,7,3.26,0
No.1,10,3.29,0
No.1+10,10,3.39,0
No.2,10,3.40,0
No.2+10,10,3.35,0
No.3,10,3.40,0
No.3+10,10,3.45,0
No.4,10,3.48,0
No.4+10,10,3.50,0
No.5,10,3.70,0
No.5+10,10,3.70,0
No.6,10,3.53,0
No.6+7,7,3.55,0
No.6+10,3,3.53,0
No.7,10,3.42,0
No.7+10,10,3.55,0
No.8,10,3.57,0
No.8+10,10,3.65,0
No.9,10,3.69,0
No.9+10,10,3.75,0
No.10,10,3.72,0
No.10+10,10,3.55,0
No.11,10,3.37,0
No.11+10,10,3.32,0
No.12,10,3.35,0
No.12+10,10,3.52,0
No.13,10,3.55,0
No.13+10,10,3.53,0
No.14,10,3.65,0
No.14+10,10,3.62,0
No.15,10,3.57,0
No.15+10,10,3.62,0
No.16,10,3.55,0
No.16+10,10,3.63,0
No.17,10,3.37,0
No.17+10,10,10.70,0
No.18,10,4.00,0
No.18+10,10,3.27,0
No.19,10,3.30,0
No.19+10,10,3.27,0
No.20,10,3.40,0
No.20+10,10,3.35,0
No.21,10,3.57,0
No.21+10,10,3.47,0
No.22,10,3.45,0
No.22+10,10,7.90,0
No.23,10,4.35,0
No.23+10,10,3.90,0
No.24,10,3.85,0
No.24+10,10,4.05,0
No.25,10,3.80,0
No.25+10,10,4.05,0
No.26,10,3.50,0
No.26+10,10,3.20,0
No.26+12,2,3.20,0
